
Initial statistics: 75 variables; iteration 0; function evaluation 0; phase 1
Function value nan; maximum gradient component mag -7.7963e+06
 73 -0.02021 -7.39159e-01 | 74 -0.01969 -7.51627e-01 | 75 -0.01937 -7.53510e-01
 76 -0.01944 -7.51452e-01 | 77 -0.46176  1.95751e+01 | 78 -0.97313 -7.38368e-02
 79 -0.42868 -6.85242e-04 | 80 -0.24653 -1.26920e+02 | 81  0.00739 -2.14253e+01
 82 -0.29045  4.09033e+01 | 83  0.83153 -1.18618e+00 | 84 -0.09577 -1.22706e+00
 85  1.73219 -3.91556e+00 | 86 -0.81819  7.87404e-02 | 87 -0.02316  2.68833e+00
 88  0.61264  4.23366e-03 |
88 variables; iteration 60; function evaluation 93; phase 3
Function value 7.2350732e+02; maximum gradient component mag 1.5828e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.07609  1.58281e+03 |  2 -0.01732 -4.34116e+00 |  3 -0.01741 -4.39095e+00
  4 -0.02092 -1.35420e+00 |  5 -0.01930 -9.95842e-01 |  6 -0.01756 -5.96242e-01
  7 -0.01565 -1.43152e-01 |  8 -0.01431  1.70747e-01 |  9 -0.01481  4.02343e-02
