
Initial statistics: 75 variables; iteration 0; function evaluation 0; phase 1
Function value nan; maximum gradient component mag -1.1374e+07
 49  0.01513 -7.32821e+01 | 50  0.02983 -1.01395e+03 | 51  0.02638 -1.03713e+03
 52  0.03102 -1.01291e+03 | 53  0.05516 -1.26181e+03 | 54  0.02919 -1.15939e+03
 55  0.03153 -1.33522e+03 | 56  0.03093 -1.49409e+03 | 57  0.03119 -1.69544e+03
 58  0.02910 -1.74577e+03 | 59  0.02873 -1.64801e+03 | 60  0.02763 -1.48626e+03
 61  0.02963 -1.32792e+03 | 62  0.03023 -1.03059e+03 | 63  0.02674 -6.15233e+02
 64  0.02772 -3.46232e+02 | 65  0.02964 -2.51248e+02 | 66  0.02778 -3.67320e+02
 67  0.02950 -8.20950e+02 | 68  0.02869 -1.30030e+03 | 69  0.02835 -1.32074e+03
 70  0.02481 -7.62958e+02 | 71  0.02201 -2.04804e+02 | 72  0.01866  5.54123e-01
 73  0.01507  2.62077e+01 | 74  0.01404  7.16135e+00 | 75  0.00007  3.65915e+00
 76 -0.00002  3.64122e+00 | 77 -0.38722  5.74348e+01 | 78 -0.99265 -2.47314e-01
 79 -0.03301  7.64837e+01 | 80 -0.10660  2.87149e+02 | 81 -0.99265 -2.47322e-01
 82  0.07752 -2.43292e+02 | 83  0.26198  2.30331e+01 | 84 -0.01721 -3.39753e+01
 85  0.07752 -1.00233e+02 | 86 -0.38722  5.96499e+00 | 87  0.00000 -5.63292e-01
 88  0.07752 -2.03332e+00 |

Intermediate statistics: 88 variables; iteration 20; function evaluation 38; phase 3
Function value 1.3232349e+03; maximum gradient component mag -5.5565e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.07267  7.98840e+01 |  2  0.00290 -1.29425e-01 |  3  0.00319 -2.38205e-01
  4 -0.01297 -3.62564e-01 |  5 -0.01233 -4.29825e-01 |  6 -0.01156 -5.07544e-01
  7 -0.01051 -5.69016e-01 |  8 -0.00922 -6.29788e-01 |  9 -0.00753 -6.58431e-01
 10 -0.00520 -6.17407e-01 | 11 -0.00217 -5.17301e-01 | 12  0.00028 -5.44068e-01
 13  0.00305 -5.32981e-01 | 14  0.00675 -3.78288e-01 | 15  0.01197 -1.58571e-01
 16  0.02030  2.11710e-01 | 17  0.03163  5.49235e-01 | 18  0.04726  5.46687e-01
 19  0.06593  1.46929e-01 | 20  0.09106 -1.84894e+00 | 21  0.08363 -5.94071e+00
 22  0.10277 -1.01252e+01 | 23  0.12778 -1.73811e+01 | 24  0.15346 -2.74026e+01
 25  0.16748 -3.33905e+01 | 26  0.16537 -3.01016e+01 | 27  0.14382 -1.65994e+01
 28  0.13155 -5.12418e+00 | 29  0.13753 -2.01660e+00 | 30  0.20482 -4.40273e+01
 31  0.13106 -8.47713e+01 | 32 -0.25813 -6.45581e+01 | 33 -0.50939 -7.85561e+01
 34 -0.37364 -7.48003e+01 | 35  0.22604  2.81678e+01 | 36 -0.02616  4.74537e+01
 37 -0.11774  4.08376e+00 | 38  0.15825 -4.26062e+01 | 39 -0.20237 -1.12610e+01
 40 -0.11507  2.10465e+01 | 41 -0.02851  9.66800e+01 | 42  0.15744  3.99527e+02
 43 -0.02271  7.66058e+01 | 44 -0.11801  2.37506e+01 | 45 -0.06832  9.69548e+01
 46 -0.00510  2.54015e+02 | 47  0.03402  3.83107e+02 | 48 -1.13215  3.06528e+01
 49  0.08755  4.60775e+01 | 50  0.14946 -2.05622e+02 | 51  0.26919 -5.55655e+02
 52 -0.34782 -7.38430e+01 | 53 -0.54604 -7.81388e+01 | 54  0.04360 -1.02246e+02
 55  0.24432  1.21565e+02 | 56  0.00627  8.72918e+01 | 57  0.16681  2.89771e+02
 58  0.25165  1.11684e+02 | 59 -0.23232 -5.77290e+01 | 60 -0.29167 -6.61475e+01
 61  0.17734  2.28129e+01 | 62  0.22878  1.79645e+02 | 63 -0.00524 -3.51936e+00
 64  0.09050 -7.84693e+01 | 65 -0.18883 -5.80794e+01 | 66 -0.58557 -7.42982e+01
 67  0.19868  2.40492e+02 | 68  0.10282  8.81457e+01 | 69  0.27397 -2.21902e+01
 70 -0.16160 -5.39672e+01 | 71 -0.71690 -6.04427e+01 | 72 -0.31318 -8.39223e+01
 73 -0.08478 -2.69708e+01 | 74 -0.01520 -6.08468e-01 | 75 -0.01433 -4.76784e-01
 76 -0.01441 -4.63538e-01 | 77 -0.74194 -4.28801e+01 | 78 -0.99127 -2.13986e-01
 79 -0.28518 -1.26416e-03 | 80 -0.05890 -1.00341e+02 | 81 -0.99127 -2.14020e-01
 82  0.26989 -5.78574e+01 | 83  0.20155 -3.71756e+00 | 84  0.00021 -6.79581e+00
 85  0.34598  1.48201e+00 | 86 -0.43006  7.43814e-01 | 87 -0.00774  1.34563e+00
 88  0.09395 -3.36948e-01 |
88 variables; iteration 40; function evaluation 64; phase 3
Function value 1.1944343e+03; maximum gradient component mag 6.9642e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.13524 -5.85707e+02 |  2 -0.00098 -3.77465e-01 |  3 -0.00256 -8.43534e-01
  4 -0.02246 -1.88298e+00 |  5 -0.02247 -2.00662e+00 |  6 -0.02319 -2.34255e+00
  7 -0.02179 -2.21875e+00 |  8 -0.02345 -2.89729e+00 |  9 -0.02422 -3.43834e+00
 10 -0.02677 -4.49682e+00 | 11 -0.02865 -5.51401e+00 | 12 -0.03030 -6.35823e+00
 13 -0.03340 -7.47334e+00 | 14 -0.03942 -9.21994e+00 | 15 -0.04656 -1.13308e+01
 16 -0.05575 -1.41171e+01 | 17 -0.06728 -1.74273e+01 | 18 -0.08032 -2.11027e+01
 19 -0.09714 -2.50600e+01 | 20 -0.10716 -2.77898e+01 | 21 -0.01807 -1.45583e+01
 22  0.02872 -1.09786e+01 | 23  0.14099 -1.49664e+01 | 24  0.19575 -1.75539e+01
 25 -0.08808 -2.07863e+01 | 26 -0.21386 -4.34206e+01 | 27 -0.18682 -3.28609e+01
 28 -0.08262  1.69004e+01 | 29 -0.04612  7.23081e+01 | 30  0.01533  2.21656e+02
 31  0.04887  4.23866e+02 | 32 -0.07661  1.73222e+02 | 33 -1.14075  3.21933e+01
 34 -0.10419  7.66443e+01 | 35  0.07120  8.19468e+01 | 36 -0.44414 -7.88949e+01
 37 -0.15119 -1.00626e+02 | 38  0.02136 -5.61431e+02 | 39 -0.19820  2.55971e+01
 40 -0.15743 -3.71939e+01 | 41 -0.48634 -7.51286e+01 | 42  0.01830  1.05903e+01
 43 -0.08462 -4.54592e+01 | 44 -0.21806 -7.43618e+01 | 45 -0.12866 -1.57522e+02
 46 -0.25965 -1.19857e+02 | 47 -0.17470 -1.39797e+02 | 48 -1.69091  7.88831e+01
 49 -0.00639 -3.21187e+02 | 50 -0.04760 -2.95206e+02 | 51  0.09781 -2.48713e+02
 52  0.01010  1.86249e+02 | 53 -1.21813  4.74487e+01 | 54  0.04617  1.63633e+00
 55  0.05256 -1.93425e+02 | 56 -0.35213 -7.90820e+01 | 57  0.02089 -3.10748e+02
 58  0.06054 -4.50134e+02 | 59  0.01022 -2.54179e+02 | 60 -1.04096  9.85025e+00
 61  0.07213  9.55078e+01 | 62  0.06149  2.64177e+02 | 63 -0.23630 -1.48248e+01
 64 -0.09921  1.54592e+02 | 65  0.02550  6.96422e+02 | 66 -0.07125  3.23934e+02
 67  0.00034  4.27778e+02 | 68 -0.10955  1.47384e+01 | 69  0.11875 -1.05937e+02
 70 -0.03660 -3.49908e+01 | 71 -1.63021  6.72611e+01 | 72 -0.08139  2.43472e+01
 73 -0.15609 -1.10523e+01 | 74 -0.02645 -1.83441e+00 | 75 -0.01923 -5.67017e-01
 76 -0.01939 -5.60984e-01 | 77 -0.73898 -1.16284e+02 | 78 -0.97956 -9.66383e-02
 79 -1.04491  4.42366e-02 | 80 -0.11067  6.59359e+02 | 81 -0.97956 -9.63440e-02
 82  0.23314 -2.92791e+01 | 83  0.15920 -2.47479e+00 | 84  0.05852  1.27011e-01
 85  1.02762 -7.25419e-02 | 86 -0.37802  9.47635e+00 | 87 -0.06562 -8.99962e-02
 88  0.10863 -2.93986e+00 |
88 variables; iteration 60; function evaluation 103; phase 3
Function value 1.0620175e+03; maximum gradient component mag 1.7339e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.05877  1.73387e+03 |  2  0.02390  5.03173e+00 |  3  0.00020 -1.12943e+00
  4 -0.07668 -1.58100e+01 |  5 -0.07589 -1.60609e+01 |  6 -0.08452 -1.85526e+01
  7 -0.06743 -1.54364e+01 |  8 -0.08666 -2.03765e+01 |  9 -0.09396 -2.26777e+01
 10 -0.11632 -2.79115e+01 | 11 -0.12808 -3.07837e+01 | 12 -0.13622 -3.27170e+01
