###
console output
2025-12-30 04:24:38.328221
###
 
 reading from starter.ss
 reading from data file
Data read successful 999

 reading forecast file 
 reading from control file
End of control file successful! 999
Begin setting up parameters ...  end of parameter section 
Evaluating biology calculations once ... done
Starting optimization of 'ss3' in phase 1 of 4 at Tue Dec 30 04:20:37 2025
phase= 3 | nvar= 83 | iter=3100 | nll=3.87e+01 | mag=2.88e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3120 | nll=3.86e+01 | mag=4.76e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3140 | nll=3.86e+01 | mag=4.63e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3160 | nll=3.86e+01 | mag=4.35e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3180 | nll=3.86e+01 | mag=7.35e+01 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3200 | nll=3.86e+01 | mag=5.44e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3220 | nll=3.86e+01 | mag=8.59e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3240 | nll=3.86e+01 | mag=7.50e+00 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3260 | nll=3.86e+01 | mag=2.41e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3280 | nll=3.86e+01 | mag=4.19e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3300 | nll=3.86e+01 | mag=1.26e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3320 | nll=3.86e+01 | mag=9.26e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3340 | nll=3.86e+01 | mag=1.73e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3360 | nll=3.86e+01 | mag=1.08e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3380 | nll=3.86e+01 | mag=3.15e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3400 | nll=3.86e+01 | mag=6.05e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3420 | nll=3.86e+01 | mag=4.27e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3440 | nll=3.86e+01 | mag=8.69e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3460 | nll=3.86e+01 | mag=9.79e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3480 | nll=3.86e+01 | mag=8.68e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3500 | nll=3.86e+01 | mag=1.18e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3520 | nll=3.86e+01 | mag=7.70e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3540 | nll=3.86e+01 | mag=4.46e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3560 | nll=3.86e+01 | mag=3.14e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3580 | nll=3.86e+01 | mag=1.09e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3600 | nll=3.86e+01 | mag=1.45e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3620 | nll=3.86e+01 | mag=8.67e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3640 | nll=3.86e+01 | mag=7.63e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3660 | nll=3.86e+01 | mag=1.20e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3680 | nll=3.86e+01 | mag=3.05e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3700 | nll=3.86e+01 | mag=1.20e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3720 | nll=3.86e+01 | mag=8.44e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3740 | nll=3.86e+01 | mag=4.86e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3760 | nll=3.86e+01 | mag=6.50e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3780 | nll=3.86e+01 | mag=6.63e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3800 | nll=3.86e+01 | mag=7.14e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3820 | nll=3.86e+01 | mag=5.03e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3840 | nll=3.86e+01 | mag=6.06e+02 | par[  1]=SR_parm[1]
